STATE,CITY,US REGION,US DISTRICT,AIRPORT CODE(S),AIRPORT DISTANCE (MI),MONTH,DATES,EVENT NAME,EVENT TYPE,EVENT URL,EVENT DESC URL 1,EVENT DESC URL 2,ANNIV/START YEAR,REVIEWS 1,REVIEWS - SOCIAL,WHAT TO DO?,EVENT DESC (1 SC),GOOD 4 KIDS?,ADMISSION (FREE/FEE),FEE DETAIL,TICKET LINK 1,TICKET LINK 2,WEBSITE CALIBER,LOC ATTR 1 - FOOD,ATTR 1 URL,LOC ATTR 2 - LEARN,ATTR 2 URL,LOC ATTR 3 - ACTIVE,ATTR 3 URL,LOC ATTR 4 - ARTS,ATTR 4 URL,CVB Contact,TOWN FUN FACT,EVENT URL,1ST EVENT THEME,EVENT MONTH COUNT,SEASON,Outreach dates,Last contact,Committed for Partner Portal,Commitment Comments,EVENT CONTACT NAME,PRIMARY EVENT CONTACT INFO,EVENT CONTACT INFO,CREDENTIALS SENT?,FOLLOW UP TO CREDENTIALS,TARGET DEMOGRAPHIC,EVENT COST,NEAREST AIRPORT,SECONDARY AIRPORT,MILES TO NEAREST AIRPORT,MILES TO SECOND AIRPORT,MASS TRANSIT AVAILABLE,EVENT URL JUN 7 2020
Illinois,Chicago,Midwest,East North Central,"MDW, ORD","13, 18",Oct,Early Oct,Bacon and Beer Classic,,https://www.baconandbeerclassic.com/chicago-tickets,https://www.baconandbeerclassic.com/,https://www.baconandbeerclassic.com/faqs,Founded in 2016. 4th annual in 2019.,,https://www.facebook.com/bandbclassic,"TASTEBUDS, A&E","Prepare yourself for 100+ draft beers from regional breweries, 30+ creative bacon dishes from local chefs, the Hormel® bacon eating contest, lawn games, music, and so much more! Rally your foodie friends and get ready to experience bacon and beer like never before.",NO,FEE,Tickets coming soon!,https://www.baconandbeerclassic.com/chicago-tickets,,GOOD,hello@cannonballproductions.com,baconandbeerclassic.com/chicago-tickets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.baconandbeerclassic.com/chicago-tickets
Illinois,Chicago,Midwest,East North Central,"MDW, ORD","13, 18",Apr,Late Apr,Cotopaxi Questival,,https://www.cotopaxi.com/products/questival-chicago-2019,https://www.cotopaxi.com/pages/questival-about,https://www.facebook.com/cotopaxiquestival/,Founded in 2016. 4th annual in 2019.,,https://www.facebook.com/cotopaxiquestival/,ACTIVE,"The Cotopaxi Questival is a 24-hour adventure race where teams of 2-6 friends explore the unknown in their city and the wild spaces around it, do things they never thought possible, and share the stoke with a fun and supportive community.",YES,FEE,NOT IN 2019,https://www.cotopaxi.com/products/questival-chicago-2019,,GOOD,,,,,,,,,,,https://www.cotopaxi.com/products/questival-chicago-2019,ACT,6,SPRING,,,,,,questival@cotopaxi.com,questival@cotopaxi.com,,,,,,,,,,https://www.cotopaxi.com/products/questival-chicago-2019
Illinois,Schaumburg,Midwest,East North Central,"ORD, MDW","18, 37",Jun,Early Jun,Gluten Free and Allergen Friendly Expo,Food Expo,https://gfafexpo.com/expos/chicago,https://nourishedfestival.com/expos/chicago,https://nourishedfestival.com/about-us,Founded in 2007.,,https://www.facebook.com/gfafexpo,"TASTEBUDS, LEARN",Premier gluten and allergen-free consumer show in the United States.,YES,FEE,$15 Adult Day Pass. $25 Adult Weekend Pass (based on pricing for other cities). 2019 tix not yet on sale.,https://gfafexpo.com/expos/chicago,,GOOD,,,,,,,,,,,https://gfafexpo.com/expos/chicago,TAS,3,WINTER,"4/25/2016, 10/3/2016",2/21/2018,YES,10/3 Laura responded and asked for partner handout,"Marion (Exhibitors), Elizabeth (Customer Service), Laura Gruninger (Media Relations Director)",laura@glutenfreemg.com,"marion@glutenfreemg.com, elizabeth@glutenfreemg.com, laura@glutenfreemg.com, 630-473-3202, 847-284-9997 (Laura mobile)",YES,,,,,,,,,https://gfafexpo.com/expos/chicago
Indiana,Indianapolis,Midwest,East North Central,IND,14,May,Mid/Late May,Bacon and Beer Classic,,https://www.baconandbeerclassic.com/,https://www.baconandbeerclassic.com/,https://www.baconandbeerclassic.com/faqs,Founded in 2017.,,https://www.facebook.com/bandbclassic,"TASTEBUDS, A&E",We bring together the best local breweries and restaurants in stadiums and epic venues all over the country. We’re the ultimate craft beer fest for foodies and the biggest bacon festival in the country. Don’t miss the party when we roll into your town. This is much more than a food or beer fest: it’s a celebration of the best things in life.,NO,FEE,Not in 2019.,,,GOOD,hello@cannonballproductions.com,baconandbeerclassic.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.baconandbeerclassic.com/
Michigan,Kalamazoo,Midwest,East North Central,"AZO, GRR","6, 53",Aug,Late Aug,Bikes and Beers Kalamazoo,,https://bikesandbeers.com/events/,https://bikesandbeers.com/events/,https://bikesandbeers.com/about-us/,Founded in 2017. 3rd annual in 2019.,,https://www.facebook.com/BicycleBeer,"ACTIVE, A&E","Featuring 15 and 30-mile rides departing from BELL'S ECCENTRIC CAFE and traveling through the beautiful region of Kalamazoo, MI. All rides will feature rest stops with refreshments and post-ride festival!",NO,YES,$25 event general (spectator). $40-$50 registration to enter different length rides.,https://www.active.com/kalamazoo-mi/cycling/races/bikes-and-beers-kalamazoo-bell-s-brewery-2019,,GOOD,,,,,,,,,,,https://bikesandbeers.com/events/,ACT,3,WINTER,,,,,,hello@bikesandbeers.com,hello@bikesandbeers.com,,,,,,,,,,https://bikesandbeers.com/events/
Minnesota,Minneapolis,Midwest,West North Central,MSP,13,Apr,Mid Apr,Bacon and Beer Classic,,https://www.baconandbeerclassic.com/,https://www.baconandbeerclassic.com/,https://www.baconandbeerclassic.com/faqs,Founded in 2015.,,https://www.facebook.com/bandbclassic,"TASTEBUDS, A&E",We bring together the best local breweries and restaurants in stadiums and epic venues all over the country. We’re the ultimate craft beer fest for foodies and the biggest bacon festival in the country. Don’t miss the party when we roll into your town. This is much more than a food or beer fest: it’s a celebration of the best things in life.,NO,FEE,Not in 2019.,,,GOOD,hello@cannonballproductions.com,baconandbeerclassic.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.baconandbeerclassic.com/
Minnesota,St. Paul,Midwest,West North Central,"MSP, STC","10, 72",Jul,Mid Jul,Bacon and Beer Classic,,https://www.baconandbeerclassic.com/minneapolis-saint-paul-twin-cities-tickets,https://www.baconandbeerclassic.com/,https://www.baconandbeerclassic.com/faqs,Founded in 2015. 5th annual in 2019.,,https://www.facebook.com/bandbclassic,"TASTEBUDS, A&E","Prepare yourself for 100+ draft beers from regional breweries, 30+ creative bacon dishes from local chefs, the Hormel® bacon eating contest, lawn games, music, and so much more! Rally your foodie friends and get ready to experience bacon and beer like never before.",NO,FEE,Tickets coming soon!,https://www.baconandbeerclassic.com/minneapolis-saint-paul-twin-cities-tickets,,GOOD,hello@cannonballproductions.com,baconandbeerclassic.com/minneapolis-saint-paul-twin-cities-tickets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.baconandbeerclassic.com/minneapolis-saint-paul-twin-cities-tickets
Ohio,Cincinnati,Midwest,East North Central,"CVG, DAY","20, 61",Sep,Mid Sep,Bikes and Beers Cincinnati,,https://bikesandbeers.com/events/,https://bikesandbeers.com/events/,https://bikesandbeers.com/about-us/,Founded in 2019. 1st annual in 2019.,,https://www.facebook.com/BicycleBeer,"ACTIVE, A&E","Featuring 15 and 30 mile rides departing from Rhinegeist Brewery’s Distribution Facility at 3241 Spring Grove Ave., and traveling through the beautiful Queen City. All rides will feature rest stops with refreshments and post-ride festival!",NO,YES,$25 event general (spectator). $40-$50 registration to enter different length rides.,https://www.active.com/cincinnati-oh/cycling/bikes-and-beers-cincinnati-rhinegiest-brewery-2019,,GOOD,,,,,,,,,,,https://bikesandbeers.com/events/,ACT,4,SPRING,,,,,,hello@bikesandbeers.com,hello@bikesandbeers.com,,,,,,,,,,https://bikesandbeers.com/events/
Ohio,Columbus,Midwest,East North Central,"CMH, DAY","8, 72",Sep,Late Sep,Bacon and Beer Classic,,https://www.baconandbeerclassic.com/,https://www.baconandbeerclassic.com/,https://www.baconandbeerclassic.com/faqs,Founded in 2016.,,https://www.facebook.com/bandbclassic,"TASTEBUDS, A&E",We bring together the best local breweries and restaurants in stadiums and epic venues all over the country. We’re the ultimate craft beer fest for foodies and the biggest bacon festival in the country. Don’t miss the party when we roll into your town. This is much more than a food or beer fest: it’s a celebration of the best things in life.,NO,FEE,Not in 2019.,,,GOOD,hello@cannonballproductions.com,baconandbeerclassic.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.baconandbeerclassic.com/
Ohio,Columbus,Midwest,East North Central,"CMH, DAY","8, 72",Oct,Early Oct,Bikes and Beers Columbus,,https://bikesandbeers.com/events/,https://bikesandbeers.com/events/,https://bikesandbeers.com/about-us/,Founded in 2019. 1st annual in 2019.,,https://www.facebook.com/BicycleBeer,"ACTIVE, A&E","Featuring 15 and 30-mile rides departing from BREWDOG and traveling through the beautiful region of Columbus, OH. All rides will feature rest stops with refreshments and post-ride festival!",NO,YES,$25 event general (spectator). $40-$50 registration to enter different length rides.,https://www.active.com/canal-winchester-oh/cycling/races/bikes-and-beers-columbus-brewdog-2019,,GOOD,,,,,,,,,,,https://bikesandbeers.com/events/,ACT,2,WINTER,,,,,,hello@bikesandbeers.com,hello@bikesandbeers.com,,,,,,,,,,https://bikesandbeers.com/events/
South Dakota,Brookings,Midwest,West North Central,"FSD, HON","55, 76",Oct,Early Oct,South Dakota Festival of Books,"Arts, Cultural Festival",http://sdhumanities.org/festival-of-books/,http://sdhumanities.org/festival-of-books/,http://sdhumanities.org/festival-of-books/schedule/,Founded in 1972. 48th annual in 2019.,,,"LEARN, A&E","As South Dakota's premier annual literary event, held each fall, the South Dakota Festival of Books draws around 4,000 attendees and showcases more than 50 distinguished authors, scholars, and publishers. Attendees and speakers participate in panels, workshops and readings.",YES,FREE,,http://sdhumanities.org/festival-of-books/tickets/,http://sdhumanities.org/festival-of-books/schedule/,GOOD,,,,,,,,,,,http://sdhumanities.org/festival-of-books/about/,LEA,10,FALL,1/2/2018,,,,South Dakota Center for the Book,info@sdhumanities.org,"605-688-6113, info@sdhumanities.org",,,,,,,,,,http://sdhumanities.org/festival-of-books/
South Dakota,Deadwood,Midwest,West North Central,"RAP, CDR","54, 146",Jul,Mid/Late Jul,South Dakota Yoga Conference,Yoga Conference,https://www.sdyogaconference.com/,https://www.sdyogaconference.com/,https://www.sdyogaconference.com/lineup,Founded in 2016. 3rd annual in 2018.,,https://www.facebook.com/SDYogaConference/,ACTIVE,"This unique event features several skilled and gifted teachers from around the state, so you can experience a broad spectrum of offerings throughout the weekend. Participants choose from a variety of styles and practices with up to eleven sessions to fill your itinerary. This is a great way for people of all levels to experience a broad spectrum of yoga practices. Also check out the amazing vendors to look forward to!",YES,FEE,$22 - $197 event general (single day pass + 2 day pass 2018). $222 event premium (full conference pass 2018).,https://www.sdyogaconference.com/register,https://www.facebook.com/pg/SDYogaConference/shop/?ref=page_internal,GOOD,,,,,,,,,,,https://www.sdyogaconference.com/,ACT,6,SPRING,,,,,,,,,,,,,,,,,https://www.sdyogaconference.com/
South Dakota,Rapid City,Midwest,West North Central,"RAP, CDR","11, 101",Apr,Late Apr,Black Hills Dance Festival,"Dance Festival - Latin/Country/Ballroom, etc",http://www.blackhillsdancefestival.com/,https://blackhillsdancefestival.com/event-information,http://www.blackhillsdancefestival.com/,Founded in 1998. 22nd annual in 2019.,,,A&E,"Black Hills Dance Festival is the premier Swing Dance/Country/Latin/Line Dance fun and social dance event of the Dakotas. It is a weekend of dance workshops, dance performances, coupled with fun social dancing. Learn from our professional instructors and capture the fun and excitement of the weekend as a participant or spectator.",NA,FEE,$5-$100 event general (general ad).,https://blackhillsdancefestival.com/event-information,https://www.eventbrite.com/e/black-hills-dance-festival-2018-tickets-42648166815#,FAIR,"Bistro at the Black Forest, Colonial House, Murphy's Pub & Grill, Piesano’s Pacchia","https://www.blackforestinn.net/, http://colonialhousernb.com/, http://www.murphyspubandgrill.com/, http://www.piesanospacchia.com/","The Journey Museum & Learning Center, Mount Rushmore","http://www.journeymuseum.org/visit, https://www.visitrapidcity.com/mount-rushmore-national-memorial","Badlands National Park, Custer State Park, Skyline Wilderness Area","https://www.nps.gov/badl/index.htm, https://gfp.sd.gov/parks/detail/custer-state-park/, https://www.travelsouthdakota.com/business-detail/skyline-wilderness-area?cid=32","Dahl Art Center, Art Alley, Memorial Park Berlin Wall Exhibit, Dinosaur Park","https://www.thedahl.org/, https://www.visitrapidcity.com/things-to-do/arts-culture/art-alley, https://www.visitrapidcity.com/things-to-do/attractions/memorial-park-berlin-wall-exhibit, https://www.visitrapidcity.com/things-to-do/attractions/dinosaur-park-gift-shop-visitors-center",https://www.visitrapidcity.com/plan-your-trip/about-visit-rapid-city,"Rapid City is the gateway to Mount Rushmore, the Black Hills, and the Badlands.",http://www.blackhillsdancefestival.com/,A&E,5,SPRING,"11/18/2015, 4/27/2016, 6/20/2016, 9/26/2016, 10/31/2016",,,"Received a blank reply email on 11/28/2016, 10/31/2016, 6/20/16 and 4/27/16 from Terry Olson",Terry Olson,,"blackhillsdancefestival@gmail.com, 605-355-0013, 605-341-1285",,,,,,,,,,http://www.blackhillsdancefestival.com/
